Time [s],Channel 0,Channel 1
105.108061090,0,0
105.111617350,1,0
105.128064360,1,1
105.130937800,0,1
105.147983250,0,0
105.150982570,1,0
105.168185090,1,1
105.171048890,0,1
105.188410570,0,0
105.191611810,1,0
105.207988720,1,1
105.210896800,0,1
105.228119180,0,0
105.231095010,1,0
105.248168060,1,1
105.251035470,0,1
105.267990840,0,0
105.270983460,1,0
105.288358940,1,1
105.291325030,0,1
105.307941240,0,0
105.310920400,1,0
105.327998210,1,1
105.330856060,0,1
105.347974250,0,0
105.351062530,1,0
105.368068560,1,1
105.370937570,0,1
105.388174190,0,0
105.391153980,1,0
105.408046770,1,1
105.410931050,0,1
105.427993880,0,0
105.430980380,1,0
105.448045300,1,1
105.450936940,0,1
105.468008880,0,0
105.471017050,1,0
105.488022380,1,1
105.490919850,0,1
105.507943690,0,0
105.511135570,1,0
105.528053440,1,1
105.530934830,0,1
105.548165460,0,0
105.551110670,1,0
105.568142950,1,1
105.571142480,0,1
105.587951330,0,0
105.590943270,1,0
105.610881910,1,1
105.613959410,0,1
105.628161320,0,0
105.631175240,1,0
105.648082510,1,1
105.650954100,0,1
105.668006340,0,0
105.671105270,1,0
105.687980680,1,1
105.690848120,0,1
105.708115240,0,0
105.715518820,1,0
105.728413810,1,1
105.731317340,0,1
105.748099390,0,0
105.751088900,1,0
105.768162290,1,1
105.771060830,0,1
105.788035250,0,0
105.791014780,1,0
105.808016100,1,1
105.810902800,0,1
105.828032960,0,0
105.831152500,1,0
105.847999520,1,1
105.850903720,0,1
105.868048650,0,0
105.871051220,1,0
105.888156530,1,1
105.891042300,0,1
105.907972020,0,0
105.910955590,1,0
105.928102050,1,1
105.930960700,0,1
105.947924050,0,0
105.950938350,1,0
105.969866480,1,1
105.973056530,0,1
105.988222070,0,0
105.991369340,1,0
106.007936910,1,1
106.010786470,0,1
106.028148160,0,0
106.031143360,1,0
106.048156200,1,1
106.051018290,0,1
106.067988930,0,0
106.070957660,1,0
106.088227040,1,1
106.091121460,0,1
106.107933140,0,0
106.110954890,1,0
106.128047070,1,1
106.131513460,0,1
106.148043630,0,0
106.151181230,1,0
106.168185740,1,1
106.171058340,0,1
106.188893750,0,0
106.191910840,1,0
106.208023190,1,1
106.210924630,0,1
106.227991480,0,0
106.230959580,1,0
106.248266090,1,1
106.251158070,0,1
106.267962180,0,0
106.270941150,1,0
106.288228880,1,1
106.291103670,0,1
106.308025070,0,0
106.311130020,1,0
106.328072750,1,1
106.330947440,0,1
106.348148110,0,0
106.351133850,1,0
106.368100150,1,1
106.371003230,0,1
106.387980300,0,0
106.390959930,1,0
106.408048080,1,1
106.410945660,0,1
106.428009330,0,0
106.431002690,1,0
106.448018780,1,1
106.450879850,0,1
106.468132880,0,0
106.471235900,1,0
106.488641700,1,1
106.492614530,0,1
106.508004480,0,0
106.510947180,1,0
106.528076950,1,1
106.530977740,0,1
106.547951590,0,0
106.550913400,1,0
106.568039560,1,1
106.570965860,0,1
106.588011120,0,0
106.591054780,1,0
106.608046080,1,1
106.610922410,0,1
106.627980240,0,0
106.631109440,1,0
106.648063890,1,1
106.651012550,0,1
106.668267580,0,0
106.671255590,1,0
106.688246000,1,1
